Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
11,0.678291917,-0.126059666,-0.673548222,-0.265258074,-24.739076614,36.835842133,-2665.132324219,0.153039321,-0.179722235,-0.581877410,0.743319809,-0.276756644,59.481174469,-86.775917053,-2688.113281250,0.095833525,-0.190574780,0.061217133,0.970279157,-0.135985538,123.786476135,37.125949860,-2650.738525391,0.244561329,0.009262496,-0.676032603,0.728946269,-0.107384764,96.965476990,126.597740173,-2704.391357422,0.180570692,
12,0.678199291,-0.126035884,-0.673591793,-0.265395552,-24.738586426,36.840259552,-2665.158203125,0.149738997,-0.179627270,-0.581923246,0.743313730,-0.276738226,59.477657318,-86.776489258,-2688.109375000,0.096354648,-0.190650061,0.061256498,0.970257699,-0.136015147,123.784843445,37.123703003,-2650.735351563,0.244611621,0.009127282,-0.676033378,0.728949487,-0.107369386,96.965293884,126.597129822,-2704.393798828,0.180256024,
13,0.678123355,-0.125905663,-0.673605442,-0.265616655,-24.733482361,36.833923340,-2665.163574219,0.149428293,-0.179651514,-0.581930876,0.743328512,-0.276666850,59.478492737,-86.777778625,-2688.119628906,0.095143028,-0.190528169,0.061207287,0.970278025,-0.136063352,123.783950806,37.123416901,-2650.737304688,0.245442197,0.009289792,-0.676001847,0.728941381,-0.107608780,96.963890076,126.596763611,-2704.390136719,0.178329945,
14,0.677995086,-0.125689521,-0.673636496,-0.265967429,-24.727745056,36.839569092,-2665.164550781,0.155055836,-0.179651499,-0.581921577,0.743292212,-0.276783884,59.479846954,-86.777961731,-2688.122070313,0.096207768,-0.190384373,0.061200544,0.970294118,-0.136152983,123.788505554,37.122936249,-2650.742187500,0.245360762,0.009233291,-0.675978005,0.728925109,-0.107873641,96.966896057,126.597396851,-2704.389404297,0.177887738,
15,0.677985489,-0.125581056,-0.673588634,-0.266164303,-24.723997116,36.834609985,-2665.145019531,0.155656397,-0.179586515,-0.581877232,0.743275523,-0.276963890,59.479904175,-86.777870178,-2688.114746094,0.094791114,-0.190473303,0.061211202,0.970301747,-0.135969236,123.789527893,37.121196747,-2650.740234375,0.245360643,0.009259727,-0.676003516,0.728939712,-0.107612155,96.967964172,126.597099304,-2704.390380859,0.178946972,
16,0.677978635,-0.125524879,-0.673543572,-0.266322106,-24.721895218,36.834781647,-2665.127441406,0.154485464,-0.179502741,-0.581864357,0.743299365,-0.276981384,59.478168488,-86.779220581,-2688.112792969,0.094489768,-0.190704912,0.061234586,0.970254719,-0.135969624,123.789100647,37.120006561,-2650.738525391,0.244571611,0.009160860,-0.676030695,0.728935897,-0.107475869,96.967468262,126.596389771,-2704.391113281,0.179005653,
17,0.677926481,-0.125362337,-0.673546433,-0.266524225,-24.719123840,36.832740784,-2665.115478516,0.154412299,-0.179537520,-0.581873775,0.743291259,-0.276960790,59.480308533,-86.779136658,-2688.110107422,0.095725939,-0.190446600,0.061243266,0.970301211,-0.135996193,123.789787292,37.118679047,-2650.738037109,0.246017694,0.009145828,-0.676004231,0.728942156,-0.107601017,96.967239380,126.596717834,-2704.387451172,0.179778591,
18,0.677849889,-0.125179663,-0.673588276,-0.266699106,-24.725158691,36.829898834,-2665.113037109,0.150154635,-0.179405168,-0.581949532,0.743387520,-0.276628762,59.478282928,-86.778976440,-2688.108886719,0.098055087,-0.190482840,0.061207864,0.970321298,-0.135817558,123.789718628,37.117328644,-2650.740722656,0.246337995,0.009170979,-0.676044226,0.728931427,-0.107420251,96.967529297,126.597137451,-2704.387451172,0.180447042,
19,0.677823842,-0.125015646,-0.673597634,-0.266818553,-24.720684052,36.824546814,-2665.098144531,0.152619779,-0.179446831,-0.581976771,0.743389428,-0.276539356,59.482337952,-86.779380798,-2688.111572266,0.097346656,-0.190601662,0.061233312,0.970275939,-0.135963619,123.792350769,37.117015839,-2650.736816406,0.244892567,0.009057002,-0.676052213,0.728930593,-0.107384823,96.970397949,126.597236633,-2704.389160156,0.179446802,
20,0.677782953,-0.124906190,-0.673617780,-0.266922772,-24.729885101,36.828060150,-2665.088623047,0.155382290,-0.179400146,-0.581940293,0.743345976,-0.276763171,59.478363037,-86.779747009,-2688.110595703,0.097236902,-0.190654993,0.061300553,0.970258296,-0.135984242,123.791481018,37.117080688,-2650.733886719,0.244626194,0.009083591,-0.676051795,0.728924513,-0.107426748,96.971122742,126.597434998,-2704.388671875,0.180114433,
21,0.677748382,-0.124926269,-0.673657477,-0.266900957,-24.724014282,36.826156616,-2665.100097656,0.155526698,-0.179476559,-0.581898272,0.743339002,-0.276820749,59.483066559,-86.780151367,-2688.112304688,0.095565751,-0.190617055,0.061242681,0.970279992,-0.135908663,123.792304993,37.116237640,-2650.735839844,0.244388252,0.009145107,-0.676022232,0.728904724,-0.107741453,96.972084045,126.595611572,-2704.390380859,0.179250345,
22,0.677645981,-0.124829359,-0.673720598,-0.267046988,-24.728004456,36.828941345,-2665.116210938,0.157589480,-0.179708809,-0.581901848,0.743332148,-0.276680887,59.480041504,-86.779975891,-2688.113525391,0.096632630,-0.190513104,0.061241925,0.970285892,-0.136012763,123.792045593,37.115936279,-2650.740478516,0.244391099,0.008940609,-0.676024258,0.728950858,-0.107433371,96.971961975,126.596549988,-2704.394042969,0.179509729,
23,0.677576363,-0.124686025,-0.673732340,-0.267260939,-24.719530106,36.823524475,-2665.114257813,0.154238209,-0.179609314,-0.581910193,0.743327260,-0.276741117,59.487182617,-86.779899597,-2688.107666016,0.096479118,-0.190444946,0.061193638,0.970299602,-0.136032104,123.794151306,37.116775513,-2650.735351563,0.245129824,0.008739994,-0.676019788,0.728969455,-0.107351787,96.972106934,126.596282959,-2704.395263672,0.179511175,
