Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
22,-0.505505681,0.169662356,0.796979904,0.283728272,35.681980133,32.571216583,-2682.169433594,0.178024903,-0.178562596,-0.580872655,0.744048536,-0.277658284,59.228649139,-86.907875061,-2688.040039063,0.092226967,-0.189683422,0.063337840,0.970302761,-0.136092007,123.655883789,36.824443817,-2650.686279297,0.245088205,0.009076881,-0.675940037,0.728984058,-0.107726492,96.953987122,126.608184814,-2704.460937500,0.177276477,
23,-0.505511880,0.169894874,0.796965659,0.283618063,35.673858643,32.570930481,-2682.167480469,0.173891842,-0.178414032,-0.580934823,0.744110584,-0.277457535,59.224212646,-86.909301758,-2688.042236328,0.093167484,-0.189652622,0.063360788,0.970286310,-0.136241660,123.649742126,36.824989319,-2650.679443359,0.244336322,0.008768328,-0.675937772,0.728975296,-0.107825108,96.951881409,126.606224060,-2704.456298828,0.177374065,
24,-0.505346894,0.169964358,0.797067821,0.283583283,35.678501129,32.565422058,-2682.185302734,0.176504910,-0.178381741,-0.580924451,0.744115651,-0.277486265,59.221298218,-86.910362244,-2688.043457031,0.093453273,-0.189527780,0.063381724,0.970285416,-0.136411950,123.643707275,36.827617645,-2650.672607422,0.244221166,0.008919786,-0.675918400,0.729024708,-0.107599840,96.950820923,126.604583740,-2704.457031250,0.177255049,
25,-0.505098343,0.169892609,0.797232926,0.283605099,35.691501617,32.555633545,-2682.216796875,0.178815067,-0.178270921,-0.580876291,0.744082928,-0.277745873,59.227355957,-86.911788940,-2688.042236328,0.092066631,-0.189673841,0.063372336,0.970296562,-0.136133417,123.645225525,36.830642700,-2650.673583984,0.244618118,0.009057531,-0.675930321,0.729010999,-0.107606471,96.954071045,126.603881836,-2704.459472656,0.178303808,
26,-0.505026519,0.169967189,0.797259331,0.283614099,35.690586090,32.562732697,-2682.202880859,0.174971238,-0.178390920,-0.580895841,0.744048834,-0.277719438,59.233451843,-86.910522461,-2688.043945313,0.091183975,-0.189600766,0.063353539,0.970308065,-0.136162117,123.649375916,36.834980011,-2650.669921875,0.244816095,0.009141284,-0.675901175,0.728960931,-0.108120479,96.958427429,126.606239319,-2704.462158203,0.176546589,
27,-0.505081356,0.170162737,0.797220588,0.283508062,35.674865723,32.563846588,-2682.184814453,0.173260584,-0.178645909,-0.580907047,0.744042933,-0.277547777,59.231895447,-86.908638000,-2688.041503906,0.092158385,-0.189461067,0.063343219,0.970311582,-0.136336192,123.642196655,36.841281891,-2650.663574219,0.244532704,0.008967633,-0.675915837,0.728985727,-0.107875437,96.956314087,126.609451294,-2704.459472656,0.176992580,
28,-0.504996002,0.170240700,0.797263026,0.283493996,35.673404694,32.566570282,-2682.193115234,0.178992942,-0.178668022,-0.580901325,0.744022787,-0.277599514,59.227714539,-86.907684326,-2688.043457031,0.091742359,-0.189604878,0.063358821,0.970285892,-0.136311755,123.633964539,36.845024109,-2650.660888672,0.243557811,0.008941166,-0.675934076,0.728983402,-0.107779138,96.950950623,126.609733582,-2704.455322266,0.177680597,
29,-0.504845321,0.170204431,0.797354281,0.283527315,35.678813934,32.561893463,-2682.206298828,0.177415177,-0.178345188,-0.580935359,0.744080961,-0.277579993,59.225582123,-86.907043457,-2688.041259766,0.092649825,-0.189618170,0.063386053,0.970261931,-0.136451170,123.633644104,36.845230103,-2650.659667969,0.242324606,0.008874031,-0.675938249,0.728999496,-0.107649796,96.952308655,126.609115601,-2704.458251953,0.179218814,
30,-0.504849970,0.170297787,0.797343671,0.283493012,35.672336578,32.560634613,-2682.203857422,0.176095128,-0.178623021,-0.580891669,0.744048238,-0.277580470,59.226699829,-86.907119751,-2688.039794922,0.092038490,-0.189820081,0.063359737,0.970222533,-0.136463001,123.634826660,36.845981598,-2650.654785156,0.241822302,0.008684685,-0.675915182,0.728992522,-0.107856989,96.953674316,126.609008789,-2704.459472656,0.178543314,
31,-0.504827142,0.170344889,0.797353148,0.283478677,35.679901123,32.558479309,-2682.203125000,0.177082464,-0.178758934,-0.580851018,0.744019985,-0.277653784,59.232593536,-86.905799866,-2688.039794922,0.091146454,-0.189597875,0.063327916,0.970295608,-0.136266708,123.638893127,36.846538544,-2650.653808594,0.244551286,0.009097049,-0.675921857,0.728977263,-0.107884414,96.956283569,126.610565186,-2704.460205078,0.177090064,
32,-0.504843831,0.170439228,0.797333539,0.283447385,35.678707123,32.557205200,-2682.203857422,0.181016356,-0.178546593,-0.580912590,0.744035184,-0.277620822,59.235446930,-86.904075623,-2688.039550781,0.092605352,-0.189619720,0.063333340,0.970271051,-0.136408836,123.644187927,36.846874237,-2650.663574219,0.243345991,0.009126969,-0.675947726,0.728976130,-0.107727088,96.957603455,126.611907959,-2704.458496094,0.177270293,
33,-0.504791260,0.170335963,0.797351420,0.283552647,35.686912537,32.560615540,-2682.199462891,0.179107383,-0.178329065,-0.580958068,0.744080126,-0.277545065,59.236362457,-86.904457092,-2688.045410156,0.092719078,-0.190040201,0.063347243,0.970203996,-0.136294082,123.647697449,36.846542358,-2650.668701172,0.241855174,0.008879106,-0.675925374,0.728986919,-0.107815281,96.957740784,126.612548828,-2704.461181641,0.177674279,
34,-0.504785299,0.170325741,0.797363043,0.283536822,35.679477692,32.547714233,-2682.219970703,0.176874191,-0.178559512,-0.580879271,0.744006157,-0.277760059,59.228404999,-86.906433105,-2688.046386719,0.091081642,-0.189842522,0.063330114,0.970260084,-0.136178210,123.647666931,36.842292786,-2650.677001953,0.243039951,0.008980223,-0.675922930,0.728982210,-0.107853897,96.953071594,126.610618591,-2704.465820313,0.177980512,
35,-0.504908264,0.170269430,0.797262490,0.283634365,35.671913147,32.550712585,-2682.177246094,0.175008565,-0.178646773,-0.580897212,0.744036198,-0.277585775,59.227634430,-86.908424377,-2688.041259766,0.091526017,-0.189801335,0.063327625,0.970254362,-0.136277199,123.649650574,36.837100983,-2650.684082031,0.241834506,0.009039610,-0.675972879,0.728975177,-0.107583545,96.952682495,126.608573914,-2704.465820313,0.178150415,
