Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426556,1781282709.268636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426556,1781282709.268636600,1,OK,0.8918594,0.4366602,0.1117823,-0.0376740,99.514,223.452,-1677.410,0.3651558,3,OK,99.533,223.260,-1677.670,OK,51.377,167.359,-1738.299,OK,12.182,220.605,-1656.695,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426556,1781282709.268636600,1,OK,0.9204809,0.0823308,0.1601016,-0.3468486,25.848,-466.106,-1640.613,0.7743319,3,OK,26.292,-467.025,-1640.984,OK,37.857,-370.013,-1616.679,OK,-40.445,-408.523,-1607.597,Passive Strays,843426556,1781282709.268,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.172,521.611,-2091.835,OK,362.232,571.341,-2129.171,Saturated,355.629,496.649,-2138.074
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426559,1781282709.318636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426559,1781282709.318636600,1,OK,0.8919581,0.4365358,0.1114880,-0.0376519,99.511,223.432,-1677.333,0.3822112,3,OK,99.545,223.253,-1677.580,OK,51.364,167.345,-1738.199,OK,12.184,220.578,-1656.710,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426559,1781282709.318636600,1,OK,0.9203106,0.0834780,0.1603550,-0.3469092,25.753,-466.171,-1640.956,0.7801993,3,OK,26.189,-467.104,-1641.331,OK,37.808,-370.123,-1616.792,OK,-40.508,-408.629,-1607.828,Passive Strays,843426559,1781282709.318,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.149,521.591,-2091.721,OK,362.218,571.324,-2129.145,Saturated,355.617,496.651,-2138.127
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426562,1781282709.368636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426562,1781282709.368636600,1,OK,0.8918716,0.4366198,0.1118329,-0.0377043,99.521,223.441,-1677.299,0.3896179,3,OK,99.535,223.246,-1677.562,OK,51.363,167.367,-1738.143,OK,12.209,220.574,-1656.606,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426562,1781282709.368636600,1,OK,0.9202309,0.0833946,0.1607519,-0.3469572,25.704,-466.202,-1641.070,0.7865077,3,OK,26.163,-467.129,-1641.450,OK,37.782,-370.180,-1616.911,OK,-40.548,-408.644,-1607.871,Passive Strays,843426562,1781282709.368,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.161,521.597,-2091.827,OK,362.215,571.327,-2129.123,Saturated,355.623,496.663,-2138.134
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426565,1781282709.418636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426565,1781282709.418636600,1,OK,0.8919623,0.4363593,0.1121222,-0.0377161,99.530,223.480,-1677.394,0.4130087,3,OK,99.549,223.266,-1677.683,OK,51.374,167.377,-1738.164,OK,12.207,220.598,-1656.647,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426565,1781282709.418636600,1,OK,0.9202299,0.0832267,0.1608419,-0.3469584,25.684,-466.198,-1641.152,0.7690792,3,OK,26.134,-467.104,-1641.523,OK,37.767,-370.178,-1617.024,OK,-40.558,-408.649,-1607.953,Passive Strays,843426565,1781282709.418,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.160,521.618,-2091.804,OK,362.228,571.347,-2129.158,Saturated,355.630,496.656,-2138.098
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426568,1781282709.468636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426568,1781282709.468636600,1,OK,0.8919333,0.4365118,0.1117770,-0.0376608,99.512,223.471,-1677.387,0.3990610,3,OK,99.530,223.272,-1677.655,OK,51.367,167.387,-1738.213,OK,12.193,220.600,-1656.710,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426568,1781282709.468636600,1,OK,0.9202030,0.0836319,0.1608484,-0.3469293,25.647,-466.218,-1641.311,0.7910213,3,OK,26.105,-467.152,-1641.693,OK,37.731,-370.200,-1617.100,OK,-40.605,-408.676,-1608.080,Passive Strays,843426568,1781282709.468,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.170,521.613,-2091.792,OK,362.225,571.345,-2129.187,Saturated,355.620,496.659,-2138.102
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426571,1781282709.518636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426571,1781282709.518636600,1,OK,0.8918281,0.4367096,0.1118286,-0.0377056,99.527,223.449,-1677.347,0.3952845,3,OK,99.540,223.249,-1677.616,OK,51.372,167.393,-1738.197,OK,12.211,220.581,-1656.654,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426571,1781282709.518636600,1,OK,0.9201785,0.0836407,0.1608823,-0.3469765,25.615,-466.228,-1641.402,0.7746865,3,OK,26.064,-467.143,-1641.777,OK,37.711,-370.222,-1617.193,OK,-40.620,-408.691,-1608.170,Passive Strays,843426571,1781282709.518,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.183,521.621,-2091.849,OK,362.226,571.336,-2129.140,Saturated,355.619,496.639,-2138.023
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426574,1781282709.568636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426574,1781282709.568636600,1,OK,0.8916500,0.4371733,0.1114279,-0.0377298,99.530,223.411,-1677.308,0.3566316,3,OK,99.549,223.234,-1677.549,OK,51.377,167.404,-1738.285,OK,12.206,220.579,-1656.666,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426574,1781282709.568636600,1,OK,0.9201791,0.0841727,0.1606874,-0.3469365,25.587,-466.244,-1641.580,0.7812546,3,OK,26.030,-467.173,-1641.958,OK,37.677,-370.244,-1617.275,OK,-40.659,-408.728,-1608.350,Passive Strays,843426574,1781282709.568,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.164,521.610,-2091.795,OK,362.224,571.327,-2129.122,Saturated,355.631,496.662,-2138.120
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426577,1781282709.618636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426577,1781282709.618636600,1,OK,0.8917202,0.4369908,0.1115782,-0.0377420,99.541,223.425,-1677.308,0.3854198,3,OK,99.576,223.238,-1677.566,OK,51.379,167.410,-1738.219,OK,12.207,220.573,-1656.655,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426577,1781282709.618636600,1,OK,0.9200259,0.0848262,0.1611477,-0.3469701,25.515,-466.244,-1641.801,0.8028042,3,OK,25.972,-467.197,-1642.191,OK,37.638,-370.279,-1617.350,OK,-40.707,-408.742,-1608.445,Passive Strays,843426577,1781282709.618,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.194,521.639,-2091.898,OK,362.227,571.323,-2129.129,Saturated,355.632,496.652,-2138.109
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426580,1781282709.668636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426580,1781282709.668636600,1,OK,0.8916498,0.4370206,0.1120532,-0.0376530,99.540,223.464,-1677.368,0.3856441,3,OK,99.568,223.262,-1677.645,OK,51.389,167.431,-1738.262,OK,12.203,220.578,-1656.616,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426580,1781282709.668636600,1,OK,0.9199692,0.0851040,0.1611067,-0.3470715,25.442,-466.290,-1642.000,0.7867290,3,OK,25.890,-467.223,-1642.382,OK,37.599,-370.345,-1617.506,OK,-40.767,-408.795,-1608.637,Passive Strays,843426580,1781282709.668,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.177,521.596,-2091.775,OK,362.223,571.311,-2129.082,Saturated,355.632,496.643,-2138.054
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426583,1781282709.718636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426583,1781282709.718636600,1,OK,0.8916251,0.4370352,0.1122039,-0.0376205,99.534,223.497,-1677.417,0.3935044,3,OK,99.568,223.291,-1677.701,OK,51.380,167.464,-1738.296,OK,12.195,220.591,-1656.645,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426583,1781282709.718636600,1,OK,0.9199284,0.0855166,0.1610722,-0.3470941,25.375,-466.314,-1642.232,0.7861445,3,OK,25.821,-467.248,-1642.614,OK,37.542,-370.390,-1617.662,OK,-40.831,-408.831,-1608.849,Passive Strays,843426583,1781282709.718,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.142,521.592,-2091.720,OK,362.209,571.315,-2129.061,Saturated,355.607,496.647,-2137.993
4,Port 0x01: JJH Probe  s/n:3E4C880C,843426586,1781282709.768636600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,843426586,1781282709.768636600,1,OK,0.8916488,0.4371685,0.1114880,-0.0376361,99.521,223.461,-1677.321,0.3936055,3,OK,99.538,223.265,-1677.586,OK,51.386,167.476,-1738.257,OK,12.192,220.596,-1656.692,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,843426586,1781282709.768636600,1,OK,0.9198596,0.0856772,0.1612877,-0.3471369,25.314,-466.339,-1642.421,0.7828024,3,OK,25.763,-467.265,-1642.802,OK,37.506,-370.434,-1617.816,OK,-40.879,-408.862,-1608.991,Passive Strays,843426586,1781282709.768,1,OK,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,3,OK,371.170,521.580,-2091.749,OK,362.230,571.340,-2129.170,Saturated,355.635,496.674,-2138.145
